# R-1（Remotion 載せ替え）効果確認 2026-09-19 実施
# 差し替え日 2026-09-03 / 判定: ① OK（スキップ率 50.6→43.0% / 平均視聴 12.4→19.2 秒） ② NG（コメント中央値 10→6）


## weekly_age_fixed
set_code           week_from  n   avg_views_72h  avg_reach_72h  avg_skip_pct_72h  avg_watch_s_72h  avg_comments_72h  avg_saved_72h
-----------------  ---------  --  -------------  -------------  ----------------  ---------------  ----------------  -------------
fantasy-animals-1  08-03      2   47             44             86.5              2.0              0.00              0.00         
fantasy-animals-1  08-10      7   89             84             91.9              1.6              0.00              0.00         
fantasy-animals-1  08-17      7   92             86             92.7              2.0              0.00              0.14         
fantasy-animals-1  08-24      7   43             41             95.4              1.2              0.00              0.00         
logic-training-1   08-03      5   94             85             79.1              3.8              0.00              0.00         
logic-training-1   08-10      21  558            349            80.2              3.9              0.48              0.14         
logic-training-1   08-17      18  1246           902            67.6              6.6              1.89              0.28         
logic-training-1   08-24      14  2060           1292           52.1              15.1             9.07              1.21         
logic-training-1   08-31      12  1760           1080           52.2              18.5             12.50             0.92         
logic-training-1   09-07      14  16396          9680           44.9              18.3             10.14             2.93         
logic-training-1   09-14      4   5745           3078           45.4              22.2             10.25             1.75         
pref-ranking-1     08-24      5   905            753            61.0              10.4             0.00              1.00         
pref-ranking-1     08-31      7   87             76             67.7              21.9             0.00              0.00         
pref-ranking-1     09-07      7   132            113            69.2              7.0              0.00              0.00         
pref-ranking-1     09-14      2   39             38             77.7              3.0              0.00              0.00         
(15 rows)

## per_post_latest
set_code           post_id  posted_jst   age_days  views   reach  skip_rate_pct  avg_watch_s  likes  comments  saved  shares
logic-training-1   132      08-17 12:33  6.2       111     106    80.2           3.0          0      0         0      0     
logic-training-1   134      08-17 21:03  13.8      67      48     60.0           7.9          0      2         0      0     
logic-training-1   137      08-18 07:34  13.9      140     122    71.2           4.1          0      0         0      0     
logic-training-1   139      08-18 12:33  5.2       106     106    89.1           2.6          0      0         0      0     
logic-training-1   141      08-18 21:03  13.8      154     120    56.3           7.2          0      1         0      0     
logic-training-1   144      08-19 07:34  13.9      138     135    71.3           4.6          0      2         0      0     
logic-training-1   146      08-19 12:33  4.2       101     115    89.5           2.1          0      0         0      0     
logic-training-1   148      08-19 21:03  13.8      644     428    43.1           12.6         0      4         0      0     
logic-training-1   151      08-20 07:33  13.9      173     138    66.2           6.8          0      0         0      0     
logic-training-1   153      08-20 12:33  3.2       118     111    73.8           3.2          0      0         0      0     
logic-training-1   155      08-20 21:04  13.8      211     130    68.9           12.5         0      4         1      0     
logic-training-1   158      08-21 07:33  13.9      160     127    72.2           9.0          0      5         0      0     
logic-training-1   160      08-21 12:33  2.2       103     109    87.8           1.9          0      0         0      0     
logic-training-1   162      08-21 21:04  13.8      290     219    53.8           8.8          0      4         0      0     
logic-training-1   165      08-22 07:34  13.9      4330    3338   54.5           9.9          8      10        1      0     
logic-training-1   167      08-22 12:34  1.2       128     114    83.8           2.2          0      0         0      0     
logic-training-1   169      08-22 21:03  13.8      4443    2937   49.5           15.4         5      10        1      0     
logic-training-1   172      08-23 07:33  13.9      11443   7854   54.9           11.6         16     31        3      0     
logic-training-1   174      08-23 15:53  0.1       118     111    81.3           2.5          0      0         0      0     
logic-training-1   176      08-23 21:03  13.8      1331    983    42.3           10.4         0      6         0      0     
logic-training-1   179      08-24 07:33  13.9      143     125    66.9           5.0          0      4         0      0     
logic-training-1   181      08-24 21:03  13.8      215     139    62.1           13.0         1      2         1      0     
logic-training-1   184      08-25 07:33  13.9      3079    2325   52.7           15.3         3      20        2      0     
logic-training-1   186      08-25 21:04  13.8      4480    2354   48.0           30.7         4      9         5      0     
logic-training-1   189      08-26 07:33  13.9      591     443    53.8           9.2          3      12        0      0     
logic-training-1   191      08-26 21:04  13.8      210     173    61.6           5.4          0      2         0      0     
logic-training-1   196      08-27 07:33  13.9      1768    1180   46.5           12.6         7      10        2      0     
logic-training-1   200      08-27 21:04  13.8      4349    2557   46.3           25.3         4      10        1      0     
logic-training-1   203      08-28 07:33  13.9      4562    2863   46.7           15.0         6      26        1      0     
logic-training-1   207      08-28 21:04  13.8      3501    2019   33.1           23.8         4      16        1      0     
logic-training-1   210      08-29 07:34  13.9      901     620    48.6           15.5         3      16        1      0     
logic-training-1   214      08-29 21:03  13.8      291     192    48.2           11.3         0      2         0      0     
logic-training-1   217      08-30 07:34  13.9      4470    3111   49.3           12.5         8      26        1      0     
logic-training-1   222      08-30 21:10  13.8      4047    2219   42.1           22.8         3      10        1      0     
logic-training-1   224      08-31 07:34  13.9      987     696    46.6           12.3         2      39        0      0     
logic-training-1   228      08-31 21:03  13.8      2392    1707   48.3           11.3         2      28        0      0     
logic-training-1   231      09-01 07:33  13.9      453     349    55.1           8.5          3      14        0      0     
logic-training-1   235      09-01 21:03  13.8      277     178    59.3           15.8         0      4         1      0     
logic-training-1   238      09-02 07:34  13.9      242     193    51.0           7.4          0      4         0      0     
