city,pref_code,households,data_year,source_name,source_url
徳島市,36,65806,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
高松市,37,115955,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
松山市,38,138218,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
高知市,39,88601,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
福岡市,40,398820,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
北九州市,40,257406,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
佐賀市,41,61904,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
長崎市,42,114312,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
熊本市,43,198131,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
大分市,44,132895,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
宮崎市,45,111033,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
鹿児島市,46,161052,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
那覇市,47,81713,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
